LastB,LastF,Current
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.41006416772179644, 0.305077390244501, 0.6258519546018062]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.41006416772179644, 0.305077390244501, 0.6258519546018062]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.41006416772179644, 0.305077390244501, 0.6258519546018062]"
"[0.41006416772179644, 0.305077390244501, 0.6258519546018062]","[0.4, 0.3, 0.7]","[0.40754812579134736, 0.30380804268337575, 0.6443889659513546]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.41006416772179644, 0.305077390244501, 0.6258519546018062]"
"[0.41006416772179644, 0.305077390244501, 0.6258519546018062]","[0.4, 0.3, 0.7]","[0.40754812579134736, 0.30380804268337575, 0.6443889659513546]"
"[0.40754812579134736, 0.30380804268337575, 0.6443889659513546]","[0.4, 0.3, 0.7]","[0.4056610943435105, 0.3028560320125318, 0.658291724463516]"
"[0.4056610943435105, 0.3028560320125318, 0.658291724463516]","[0.4, 0.3, 0.7]","[0.4042458207576328, 0.3021420240093989, 0.6687187933476371]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.41006416772179644, 0.305077390244501, 0.6258519546018062]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.41006416772179644, 0.305077390244501, 0.6258519546018062]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.41006416772179644, 0.305077390244501, 0.6258519546018062]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.41006416772179644, 0.305077390244501, 0.6258519546018062]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.41006416772179644, 0.305077390244501, 0.6258519546018062]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
